"type","season","week","day","first_course","second_course","side_dish","fruit","snack"
"2","1","2","5","Pasta senza glutine alle Zucchine","Pesce  al forno ","Pomodori ","Frutta di stagione  ","Succo 100% e biscotti secchi senza glutine  "
"2","1","3","1"," Gnocchi senza glutine con burro e salvia  ","Spiedini  ","Fagiolini  ","Frutta di stagione  ","Plumcake   senza glutine"
"2","1","3","2","Pasta senza glutine  e Piselli ","Mozzarella ","Pomodori","Frutta di stagione  ","Frutta di stagione"
"2","1","3","3","Pasta senza glutine con crema di Zucchine ","insalatona (con prosciutto, formaggio ,olive e verdure juelienne) ","-","Frutta di stagione  ","Muffin senza glutine"
"2","1","3","4","Pasta senza glutine fredda ","Fusi di pollo  ","Insalata ","Frutta di stagione  ","Gelato  senza glutine"
"2","1","3","5","Pasta senza glutine al pomodoro ","Filetto di merluzzo con pan grattato senza glutine","Carote ","Frutta di stagione  ","Succo 100% e biscotti senza glutine"
"2","1","4","1","Pasta senza glutine al pomodoro","Polpette di carne  ","Fagiolini ","Frutta di stagione  ","Pasta senza glutine al pomodoro"
"2","1","4","2","Pasta senza glutine olio e parmigiano  ","Hamburger  ","Zucchine  ","Frutta di stagione  ","Pasta senza glutine olio e parmigiano  "
"2","1","4","3","Pasta senza glutine Tonno e pomodoro ","Mozzarella ","Spinaci ","Frutta di stagione  ","Pasta senza glutine Tonno e pomodoro "
"2","1","4","4","Pizza Margherita  senza glutine","Insalata mista con legumi ","-","Frutta di stagione  ","Pizza Margherita  senza glutine"
"2","1","4","5","Gnocchi senza glutine al burro ","Tonno ","Pomodori ","Frutta di stagione  ","Gnocchi senza glutine al burro "
